TotalFactura,Diferenciada,TotalFactura_sqrt,Log_TotalFactura,TotalFactura_yeojohnson,campaña_marketing,cierre_hotel,Predicción_ARIMA,Predicción_SARIMA_cuadrado,Predicción_SARIMA_sarimax_train,Predicción_SARIMA_sarimax,Fecha
8829.0,,93.96275858019496,9.085910293598007,0.4162305550528744,1,1,0.0,0.0,24.304485472382684,25.070407571418507,2022-01-16
42031.0,33202.0,205.01463362404158,10.646186511925322,1.7776987926462373,1,1,4757.490891758152,93.96275858019496,93.91967320069423,93.93012903152713,2022-01-23
15859.0,-26172.0,125.93252161375949,9.671555495188839,0.8594004280354366,1,1,19937.094805014407,204.90602423845428,204.87739906159504,204.89764860217423,2022-01-30
25654.0,9795.0,160.1686611044745,10.152493763376064,1.2814557098177723,1,1,18480.809793645243,126.00969163002027,126.03004155460027,125.96455681166631,2022-02-06
39293.4,13639.400000000001,198.22562901905496,10.578837294065492,1.705916469688043,1,1,20888.712193996987,160.1352822097818,160.12648995586395,160.14798496514808,2022-02-13
15484.0,-23809.4,124.43472184241824,9.647627092407303,0.8398417991939375,1,1,26890.33296635815,198.18840852632593,198.1785654741152,198.18205813025835,2022-02-20
5424.0,-10060.0,73.64781055808787,8.59877317840866,0.0988628874577376,1,1,23220.814840717172,124.50679124553248,124.52581699008114,124.48860453401603,2022-02-27
5702.0,278.0,75.51158851461145,8.648747631156539,0.12947496762511163,1,1,17531.417991113547,73.69750809248845,73.71065973003861,73.71557168586985,2022-03-06
4651.0,-1051.0,68.19824044651006,8.445052513638554,0.007327640405823375,1,1,13760.804729674006,75.50981586162145,75.50936384248315,75.53460907559587,2022-03-13
2377.4,-2273.6,48.75858898696721,7.774183271683888,-0.3493087694389903,1,1,10861.030803360663,68.20538505038932,68.20727181553745,68.2135800435034,2022-03-20
4250.0,1872.6,65.19202405202648,8.35490952835879,-0.044554604758791784,1,1,8162.29321103252,48.77759168429381,48.78261378072446,48.78259281397867,2022-03-27
720.0,-3530.0,26.832815729997478,6.580639137284949,-0.8402651753255654,1,1,6918.117257678286,65.17598446951352,65.17175364600871,65.18525470843673,2022-04-03
1610.0,890.0,40.124805295477756,7.384610383176974,-0.5278047236427672,1,1,4947.281572206081,26.870283271063034,26.8801754964363,26.866634268535535,2022-04-10
