fecha,prediccion_totalfactura
2025-03-09,9725.790908010638
2025-03-16,19991.236134581162
2025-03-23,8967.958007797579
2025-03-30,20892.5985237368
2025-04-06,16322.089744093319
2025-04-13,20138.63832338412
2025-04-20,18253.842811617436
2025-04-27,22600.989900073593
2025-05-04,8714.416881548048
2025-05-11,13476.55509355334
2025-05-18,12235.852832686174
2025-05-25,6855.8632674681785
2025-06-01,8666.633363164065
2025-06-08,18190.30427977278
2025-06-15,12978.479301333482
2025-06-22,21827.495310446015
2025-06-29,18586.988501049556
2025-07-06,20638.19011515968
2025-07-13,19879.09198757982
2025-07-20,24554.629623921417
2025-07-27,22769.9322454073
2025-08-03,38831.908673779566
2025-08-10,22563.080701302762
2025-08-17,17001.49753874322
2025-08-24,23665.05324049323
2025-08-31,25241.20678427824
2025-09-07,31606.301082748538
2025-09-14,23499.2141791915
2025-09-21,49966.32302614881
2025-09-28,51907.00586626455
2025-10-05,41946.67439434494
2025-10-12,34780.723533650365
2025-10-19,28679.408288136627
2025-10-26,26518.908091842433
2025-11-02,39167.709390734555
2025-11-09,34824.70039608343
2025-11-16,49187.03192899121
2025-11-23,32216.63158227137
2025-11-30,55335.14902145191
2025-12-07,33793.124630954946
2025-12-14,49214.46054279695
2025-12-21,41046.8483939154
2025-12-28,47264.3411316431
2026-01-04,71248.94671774945
2026-01-11,37458.12352291991
2026-01-18,52407.80638635188
2026-01-25,50420.1616590689
2026-02-01,45450.82824026829
2026-02-08,29761.96565107241
2026-02-15,34573.78219183614
2026-02-22,28637.28627192498
2026-03-01,13086.882905577557
